20140901,325650025,269123311
20140902,325673542,269145290
20140903,325697060,269167269
20140904,325720577,269189248
20140905,325744094,269211227
20140906,325767611,269233206
20140907,325791128,269255185
20140908,325814645,269277164
20140909,325838163,269299143
20140910,325861680,269321123
20140911,325885197,269343102
20140912,325908714,269365081
20140913,325932231,269387059
20140914,325955748,269409039
20140915,325979265,269431018
20140916,326002783,269452997
20140917,326026299,269474976
20140918,326049817,269496955
20140919,326073334,269518934
20140920,326096851,269540913
20140921,326120368,269562892
20140922,326143885,269584871
20140923,326167403,269606849
20140924,326190920,269628829
20140925,326214437,269650808
20140926,326237954,269672787
20140927,326261471,269694766
20140928,326284988,269716745
20140929,326308506,269738724
20140930,326332023,269760703
